cluster,id
0,0
1,1
1,2
0,3
1,4
0,5
0,6
0,7
0,8
4,9
3,10
1,11
0,12
2,13
1,14
4,15
3,16
0,17
3,18
4,19
0,20
1,21
2,22
1,23
2,24
1,25
2,26
1,27
4,28
4,29
3,30
2,31
2,32
3,33
3,34
4,35
2,36
3,37
3,38
3,39
3,40
2,41
2,42
0,43
1,44
3,45
2,46
2,47
1,48
1,49
4,50
4,51
3,52
3,53
0,54
4,55
4,56
4,57
0,58
1,59
0,60
3,61
2,62
4,63
3,64
3,65
0,66
3,67
1,68
2,69
3,70
1,71
1,72
2,73
2,74
3,75
3,76
2,77
1,78
3,79
1,80
4,81
4,82
2,83
3,84
3,85
2,86
4,87
0,88
2,89
0,90
1,91
2,92
2,93
4,94
0,95
1,96
1,97
2,98
2,99
1,100
4,101
1,102
3,103
4,104
0,105
3,106
1,107
0,108
3,109
2,110
0,111
1,112
1,113
4,114
1,115
4,116
3,117
4,118
1,119
4,120
1,121
4,122
3,123
2,124
4,125
1,126
0,127
3,128
0,129
2,130
3,131
3,132
4,133
2,134
2,135
2,136
3,137
3,138
0,139
2,140
2,141
1,142
1,143
4,144
1,145
2,146
1,147
4,148
3,149
1,150
0,151
1,152
4,153
3,154
1,155
1,156
2,157
0,158
3,159
3,160
1,161
3,162
0,163
2,164
4,165
2,166
2,167
2,168
2,169
3,170
3,171
2,172
0,173
0,174
4,175
1,176
0,177
4,178
4,179
0,180
3,181
3,182
4,183
1,184
0,185
0,186
4,187
3,188
1,189
0,190
3,191
0,192
4,193
1,194
2,195
2,196
3,197
4,198
3,199
4,200
1,201
4,202
4,203
3,204
1,205
1,206
2,207
1,208
1,209
1,210
1,211
4,212
3,213
1,214
3,215
4,216
1,217
0,218
2,219
4,220
4,221
1,222
1,223
3,224
2,225
2,226
2,227
3,228
4,229
3,230
3,231
4,232
4,233
4,234
0,235
0,236
4,237
1,238
4,239
1,240
0,241
2,242
4,243
1,244
4,245
1,246
1,247
1,248
1,249
2,250
2,251
3,252
3,253
3,254
4,255
1,256
3,257
1,258
1,259
4,260
3,261
4,262
3,263
3,264
1,265
0,266
1,267
3,268
1,269
2,270
2,271
4,272
2,273
4,274
0,275
3,276
4,277
3,278
3,279
1,280
3,281
1,282
4,283
1,284
4,285
2,286
1,287
4,288
3,289
0,290
3,291
0,292
1,293
1,294
0,295
3,296
3,297
4,298
3,299
1,300
4,301
1,302
1,303
3,304
2,305
3,306
1,307
0,308
4,309
3,310
2,311
3,312
2,313
3,314
4,315
3,316
3,317
3,318
1,319
1,320
3,321
4,322
3,323
0,324
4,325
2,326
4,327
1,328
1,329
3,330
3,331
1,332
2,333
0,334
4,335
2,336
4,337
2,338
1,339
1,340
0,341
1,342
0,343
3,344
4,345
4,346
4,347
4,348
3,349
3,350
2,351
4,352
0,353
4,354
2,355
0,356
2,357
1,358
4,359
1,360
0,361
3,362
2,363
2,364
4,365
3,366
0,367
1,368
4,369
2,370
3,371
2,372
2,373
3,374
0,375
0,376
2,377
3,378
4,379
2,380
0,381
1,382
1,383
3,384
3,385
0,386
3,387
4,388
1,389
0,390
1,391
1,392
3,393
0,394
4,395
1,396
4,397
3,398
4,399
0,400
4,401
0,402
0,403
1,404
0,405
4,406
1,407
3,408
0,409
3,410
4,411
1,412
2,413
2,414
1,415
2,416
1,417
3,418
3,419
1,420
4,421
3,422
0,423
4,424
4,425
2,426
1,427
2,428
1,429
4,430
2,431
1,432
2,433
3,434
1,435
1,436
4,437
2,438
2,439
3,440
1,441
3,442
4,443
0,444
1,445
4,446
3,447
4,448
3,449
4,450
3,451
1,452
3,453
1,454
1,455
2,456
1,457
0,458
4,459
2,460
1,461
3,462
4,463
2,464
2,465
4,466
1,467
4,468
1,469
1,470
1,471
1,472
1,473
1,474
0,475
4,476
3,477
3,478
0,479
1,480
2,481
3,482
0,483
3,484
3,485
1,486
4,487
2,488
1,489
4,490
3,491
1,492
3,493
0,494
3,495
4,496
2,497
1,498
0,499
3,500
4,501
1,502
4,503
2,504
4,505
4,506
1,507
3,508
3,509
4,510
3,511
4,512
1,513
3,514
1,515
2,516
4,517
4,518
4,519
1,520
4,521
0,522
4,523
4,524
0,525
2,526
1,527
4,528
1,529
0,530
3,531
2,532
0,533
2,534
4,535
0,536
4,537
4,538
3,539
1,540
1,541
3,542
4,543
4,544
4,545
4,546
3,547
3,548
2,549
1,550
0,551
1,552
0,553
4,554
0,555
4,556
2,557
2,558
4,559
1,560
4,561
2,562
3,563
0,564
0,565
1,566
0,567
3,568
1,569
1,570
4,571
4,572
3,573
3,574
3,575
0,576
1,577
4,578
4,579
2,580
4,581
1,582
2,583
2,584
2,585
3,586
4,587
4,588
1,589
0,590
4,591
0,592
1,593
4,594
3,595
4,596
4,597
4,598
1,599
1,600
2,601
4,602
2,603
2,604
3,605
3,606
4,607
1,608
1,609
4,610
1,611
0,612
4,613
1,614
4,615
4,616
3,617
3,618
1,619
4,620
1,621
3,622
4,623
1,624
1,625
0,626
4,627
0,628
3,629
3,630
1,631
1,632
0,633
1,634
1,635
4,636
2,637
0,638
2,639
3,640
3,641
2,642
1,643
3,644
1,645
4,646
0,647
4,648
3,649
1,650
0,651
3,652
4,653
2,654
1,655
2,656
3,657
1,658
2,659
3,660
1,661
3,662
4,663
0,664
2,665
1,666
4,667
1,668
4,669
1,670
4,671
1,672
0,673
2,674
3,675
1,676
3,677
4,678
2,679
3,680
2,681
3,682
1,683
0,684
3,685
1,686
1,687
4,688
3,689
2,690
1,691
3,692
4,693
1,694
3,695
1,696
2,697
3,698
3,699
4,700
2,701
1,702
0,703
0,704
2,705
1,706
1,707
1,708
0,709
3,710
1,711
3,712
4,713
4,714
1,715
2,716
2,717
4,718
2,719
4,720
3,721
2,722
4,723
3,724
2,725
3,726
4,727
1,728
4,729
4,730
4,731
1,732
1,733
2,734
0,735
2,736
4,737
1,738
3,739
1,740
0,741
4,742
1,743
4,744
1,745
4,746
2,747
0,748
1,749
1,750
0,751
4,752
0,753
4,754
4,755
4,756
3,757
4,758
3,759
4,760
3,761
3,762
3,763
1,764
0,765
0,766
3,767
1,768
2,769
1,770
1,771
4,772
4,773
2,774
3,775
1,776
4,777
1,778
1,779
4,780
1,781
4,782
2,783
0,784
0,785
2,786
4,787
1,788
2,789
4,790
1,791
0,792
3,793
0,794
0,795
1,796
2,797
4,798
0,799
3,800
1,801
3,802
0,803
0,804
0,805
1,806
1,807
4,808
3,809
3,810
2,811
3,812
3,813
4,814
3,815
2,816
1,817
2,818
0,819
0,820
4,821
4,822
0,823
0,824
4,825
3,826
4,827
4,828
2,829
2,830
2,831
2,832
1,833
4,834
4,835
1,836
3,837
0,838
1,839
3,840
4,841
3,842
3,843
3,844
3,845
1,846
0,847
3,848
4,849
2,850
4,851
4,852
1,853
0,854
3,855
1,856
3,857
1,858
3,859
0,860
2,861
2,862
1,863
3,864
4,865
2,866
0,867
4,868
4,869
4,870
4,871
3,872
3,873
4,874
1,875
2,876
0,877
2,878
0,879
4,880
0,881
1,882
1,883
3,884
3,885
1,886
4,887
3,888
4,889
4,890
1,891
2,892
3,893
1,894
1,895
2,896
2,897
4,898
0,899
1,900
3,901
2,902
3,903
2,904
2,905
4,906
0,907
4,908
0,909
4,910
3,911
3,912
4,913
0,914
4,915
4,916
2,917
2,918
4,919
4,920
4,921
1,922
1,923
4,924
4,925
4,926
4,927
1,928
4,929
4,930
0,931
4,932
4,933
1,934
2,935
4,936
1,937
1,938
3,939
4,940
2,941
1,942
4,943
1,944
4,945
3,946
1,947
4,948
1,949
2,950
4,951
2,952
1,953
3,954
3,955
3,956
3,957
4,958
0,959
1,960
2,961
1,962
3,963
1,964
1,965
2,966
4,967
3,968
4,969
3,970
3,971
3,972
3,973
2,974
3,975
1,976
0,977
3,978
1,979
3,980
2,981
1,982
3,983
2,984
0,985
3,986
4,987
3,988
4,989
4,990
4,991
3,992
3,993
2,994
1,995
4,996
1,997
4,998
3,999
1,1000
3,1001
2,1002
0,1003
1,1004
2,1005
1,1006
1,1007
1,1008
3,1009
3,1010
4,1011
0,1012
0,1013
4,1014
1,1015
4,1016
0,1017
2,1018
4,1019
1,1020
4,1021
1,1022
4,1023
0,1024
4,1025
4,1026
2,1027
0,1028
3,1029
3,1030
1,1031
3,1032
3,1033
4,1034
1,1035
0,1036
3,1037
4,1038
1,1039
0,1040
1,1041
2,1042
3,1043
3,1044
0,1045
4,1046
2,1047
1,1048
4,1049
1,1050
4,1051
3,1052
1,1053
4,1054
4,1055
1,1056
3,1057
0,1058
3,1059
2,1060
